,Name,FIDE ID,Born,Died,Year,Most recentfederation,M/F,Notes
0,"Aagaard, Jacob",1401815.0,1973-07-31,,2007,Scotland,M,Di Felice
1,"Abasov, Nijat",13402960.0,1995-05-14,,2011,Azerbaijan,M,Di Felice
2,"Abbasifar, Hasan",12501000.0,1972-09-12,,2013,Iran,M,title application; d.o.b.[note 1]
3,"Abbasov, Farid",13400665.0,1979-01-31,,2007,Azerbaijan,M,
4,"Abdusattorov, Nodirbek",14204118.0,2004-09-18,,2018,Uzbekistan,M,
5,"Abergel, Thal",614890.0,1982-10-13,,2008,France,M,
6,"Abramovic, Bosko",900206.0,1951-02-14,,1984,Serbia,M,
7,"Abreu Delgado, Aryam",3502589.0,1978-07-09,,2008,Cuba,M,
8,"Acs, Peter",708020.0,1981-05-10,,1998,Hungary,M,
9,"Aczel, Gergely",727709.0,1991-02-27,,2018,Hungary,M,title application
10,"Adams, Michael",400041.0,1971-11-17,,1989,England,M,
11,"Adhiban, B.",5018471.0,1992-08-15,,2010,India,M,
12,"Adianto, Utut",7100019.0,1965-03-16,,1986,Indonesia,M,Di Felice
13,"Adly, Ahmed",10601619.0,1987-02-19,,2005,Egypt,M,
14,"Adorján, András",700096.0,1950-03-31,,1973,Hungary,M,
15,"Agaragimov, Djakhangir",13401718.0,1986-12-05,,2014,Azerbaijan,M,title application
16,"Agdestein, Simen",1500015.0,1967-05-15,,1985,Norway,M,
17,"Aghamaliyev, Cemil",13400215.0,1974-08-31,,2002,Turkey,M,
18,"Aghasaryan, Robert",13302841.0,1994-03-01,,2014,Armenia,M,
19,"Agrest, Evgeny",1705024.0,1966-08-15,,1997,Sweden,M,
20,"Agüero Jiménez, Luis Lázaro",3508455.0,1991-01-05,,2019,Cuba,M,title application
21,"Agzamov, Georgy",,1954-09-06,1986-08-27,1984,Soviet Union,M,Di Felice
22,"Ajrapetjan, Yuriy",14109069.0,1988-04-18,,2007,Ukraine,M,Di Felice
23,"Akbaev, Kazbek",4131045.0,1981-06-08,,2015,Russia,M,Di Felice
24,"Åkesson, Ralf",1700120.0,1961-02-08,,1995,Sweden,M,
25,"Akobian, Varuzhan",13300580.0,1983-11-19,,2004,United States,M,
26,"Akopian, Vladimir",13300032.0,1971-12-07,,1991,Armenia,M,
27,"Al Rakib, Abdullah",10200444.0,1980-12-02,,2007,Bangladesh,M,
28,"Al Sayed, Mohamad Naser",12100196.0,1981-11-02,,2009,Qatar,M,
29,"Al-Modiahki, Mohamad",12100030.0,1974-06-01,,1998,Qatar,M,
30,"Alatortsev, Vladimir",,1909-05-14,1987-01-13,1983,Soviet Union,M,[3]
31,"Alavkin, Arseny",4120612.0,1969-01-17,,2010,Russia,M,
32,"Albornoz Cabrera, Carlos Daniel",3518736.0,2000-12-26,,2019,Cuba,M,
33,"Alburt, Lev",2000156.0,1945-08-21,,1977,United States,M,
34,"Aleksandrov, Aleksej",13500139.0,1973-05-11,,1997,Belarus,M,
35,"Alekseenko, Kirill",4135539.0,1997-06-22,,2015,Russia,M,
36,"Alekseev, Evgeny",4138147.0,1985-11-28,,2002,Russia,M,
37,"Ali Marandi, Cemil Can",6300529.0,1998-01-17,,2017,Turkey,M,
38,"Almási, Zoltán",702293.0,1976-08-29,,1993,Hungary,M,
39,"Almeida Quintana, Omar",3503313.0,1981-10-28,,2006,Cuba,M,
40,"Alonso Rosell, Alvar",2270544.0,1992-09-13,,2013,Spain,M,Di Felice
41,"Alonso, Salvador",105198.0,1974-09-07,,2009,Argentina,M,Di Felice
42,"Alsina Leal, Daniel",2252627.0,1988-05-10,,2010,Spain,M,
43,"Alterman, Boris",2801906.0,1970-05-04,,1992,Israel,M,
44,"Alvarez Pedraza, Aramis",3507408.0,1988-07-27,,2010,Cuba,M,
45,"Amanov, Mesgen",14000652.0,1986-09-06,,2009,Turkmenistan,M,
